127.0.0.1 - - [01/Jul/2019:11:08:36 -0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [01/Jul/2019:11:08:49 -0300] "GET /blog/ HTTP/1.1" 200 14768
0:0:0:0:0:0:0:1 - - [01/Jul/2019:11:08:50 -0300] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [01/Jul/2019:11:08:58 -0300] "GET /blog/postagem/add;jsessionid=F5FDAFEB85888E55D81501B6DB09E5BB HTTP/1.1" 200 4784
0:0:0:0:0:0:0:1 - - [01/Jul/2019:11:09:10 -0300] "POST /blog/postagem/save HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jul/2019:11:09:10 -0300] "GET /blog/postagem/list HTTP/1.1" 200 8307
0:0:0:0:0:0:0:1 - - [01/Jul/2019:11:09:14 -0300] "GET /blog/postagem/delete/40 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jul/2019:11:09:15 -0300] "GET /blog/postagem/list HTTP/1.1" 200 8352
0:0:0:0:0:0:0:1 - - [01/Jul/2019:11:09:44 -0300] "GET /blog/usuario/add HTTP/1.1" 200 4204
0:0:0:0:0:0:0:1 - - [01/Jul/2019:11:09:45 -0300] "POST /blog/usuario/save HTTP/1.1" 200 4623
0:0:0:0:0:0:0:1 - - [01/Jul/2019:11:15:26 -0300] "POST /blog/usuario/save HTTP/1.1" 200 4623
0:0:0:0:0:0:0:1 - - [01/Jul/2019:11:15:31 -0300] "GET /blog/postagem/add HTTP/1.1" 200 4807
0:0:0:0:0:0:0:1 - - [01/Jul/2019:11:15:33 -0300] "POST /blog/postagem/save HTTP/1.1" 200 4102
0:0:0:0:0:0:0:1 - - [01/Jul/2019:11:16:21 -0300] "POST /blog/postagem/save HTTP/1.1" 200 4188
0:0:0:0:0:0:0:1 - - [01/Jul/2019:11:16:47 -0300] "POST /blog/postagem/save HTTP/1.1" 200 4184
0:0:0:0:0:0:0:1 - - [01/Jul/2019:11:26:32 -0300] "POST /blog/postagem/save HTTP/1.1" 200 4184
0:0:0:0:0:0:0:1 - - [01/Jul/2019:11:26:35 -0300] "GET /blog/ HTTP/1.1" 200 13228
0:0:0:0:0:0:0:1 - - [01/Jul/2019:11:26:37 -0300] "GET /blog/postagem/add HTTP/1.1" 200 4813
0:0:0:0:0:0:0:1 - - [01/Jul/2019:11:26:44 -0300] "POST /blog/postagem/save HTTP/1.1" 200 4184
0:0:0:0:0:0:0:1 - - [01/Jul/2019:11:28:14 -0300] "POST /blog/postagem/save HTTP/1.1" 200 4184
0:0:0:0:0:0:0:1 - - [01/Jul/2019:11:28:17 -0300] "GET /blog/postagem/add HTTP/1.1" 200 4813
0:0:0:0:0:0:0:1 - - [01/Jul/2019:11:28:19 -0300] "POST /blog/postagem/save HTTP/1.1" 200 4184
0:0:0:0:0:0:0:1 - - [01/Jul/2019:11:28:56 -0300] "POST /blog/postagem/save HTTP/1.1" 200 5002
0:0:0:0:0:0:0:1 - - [01/Jul/2019:11:28:58 -0300] "POST /blog/postagem/save HTTP/1.1" 200 5002
0:0:0:0:0:0:0:1 - - [01/Jul/2019:11:29:04 -0300] "POST /blog/postagem/save HTTP/1.1" 200 5005
0:0:0:0:0:0:0:1 - - [01/Jul/2019:11:29:09 -0300] "POST /blog/postagem/save HTTP/1.1" 200 4973
